Package-Name,Link,Path,Date-Download,Trigger,Description,Query
tkinter,https://www.npmjs.com/advisories/500,/package/package-setup.js,15.03.24,Install,Steals environment variables and sends them to attacker controlled locations,tkinter_analysis.ql
eslint-config-eslint,https://eslint.org/blog/2018/07/postmortem-for-malicious-package-publishes,/package/build.js,15.03.24,Install,Download code from pastebin.com & then executed it. It sent the contents of the users npmrc file to the attacker,eslint-config-eslint_analysis.ql
code-oss-dev,https://security.snyk.io/vuln/SNYK-JS-CODEOSSDEV-1585137,/package/index.js,15.03.24,Install,Sends data of Running system (Which OS  Version)  Environment varibles  Ports  Hostnames  Networkinterfaces  cpus to enjglpdgtgrbn4b.m.pipedream.net,code-oss-dev_analysis.ql
component-emiter,https://www.npmjs.com/package/component-emiter,/package/index.js,15.03.24,Runtime,Gets something from 23.94.46.191 port 80 update.json. Creates a file with data from said website and executes the file,component-emiter_analysis.ql
@xvideos_alerts,https://twitter.com/Checkmarx/status/1458191508167749635,/package/build-project.js,15.03.24,Install,Malicious code embedded into the package enumerates the system it is installed on. Attacker's payload is executed automatically upon installation and data is sent via DNS tunneling to the domain .ex.neversummer.xyz.,alerts_analysis.ql
mollie-shopware,https://checkmarx.com/blog/a-beautiful-factory-for-malicious-packages/,package/index.js,15.03.24,Install,Sends operating system info + environment variables + via dns tunneling to a webhook,mollie-shopware_analysis.ql
gsap-tween,no link,/package/index.js,15.03.24,Install,Sends fingerprinting data to attacker controlled locations,gsap-tween_analysis.ql
bleeding-edge-css,no link,/package/index.js,15.03.24,Install,Upon installation the package opens a shell to a remote server. The package affects both Windows and *nix systems.,bleeding-edge-css_analysis.ql
alprazolamdiv,no link,/package/src/client/actions/UserGet.js,15.03.24,Unknown,"Steals tokens and credentials, then exfiltrates them to an attacker-controlled API. Injects malware into Discord for persistence.",alprazolamdiv_analysis.ql
colorajs,https://github.com/advisories/GHSA-7f97-8rm9-rmw6,/package/index.js,15.03.24,Install,Detects download and execution of a_1.exe virus file via shell commands,colorajs_analysis.ql
